,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
160,2022-06-10,-6552,11802,-5168,95,-8660,3770,-1381,-4,1024,-12,-34,-47
161,2022-06-11,0,0,0,0,0,0,0,0,0,0,0,0
162,2022-06-12,0,0,0,0,0,0,0,0,0,0,0,0
163,2022-06-13,-12857,14835,-2246,1530,-1407,70,-3447,18,961,29,446,-178
164,2022-06-14,-9451,3269,6581,2155,307,3171,-314,0,1245,18,-381,-17
165,2022-06-15,-3710,-461,3903,1048,-65,487,2257,19,153,4,261,7
166,2022-06-16,-4032,2356,1687,1413,36,1810,-288,-100,-1184,0,-14,2
167,2022-06-17,-3146,1569,1950,2794,-661,919,-1409,71,357,-121,-348,-25
168,2022-06-18,0,0,0,0,0,0,0,0,0,0,0,0
169,2022-06-19,0,0,0,0,0,0,0,0,0,0,0,0
170,2022-06-20,331,-4791,4446,3814,-1919,2973,-658,29,203,4,16,-2
171,2022-06-21,-1692,-5118,6772,3551,4316,35,-1758,4,614,11,5,33
172,2022-06-22,-1149,-588,1879,-335,1384,2285,-972,26,-489,-22,-94,-48
173,2022-06-23,-7134,-5088,11825,4890,2822,4487,-1090,7,725,-16,378,19
174,2022-06-24,123,1078,-1208,-182,-1555,2838,-2647,3,352,-17,26,-19
175,2022-06-25,0,0,0,0,0,0,0,0,0,0,0,0
176,2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0
177,2022-06-27,2231,4094,-6474,-2660,-595,3243,-5832,-51,-574,-4,131,18
178,2022-06-28,597,-3540,3457,-872,1864,4388,-2229,-141,240,206,-502,-12
179,2022-06-29,-7697,-2636,10336,-2779,4786,6041,180,34,1969,104,56,-59
180,2022-06-30,-308,-9791,9887,904,4960,4247,-643,17,374,28,191,21
181,2022-07-01,-2375,-8077,10415,-313,1826,8442,-333,0,792,0,60,-23
182,2022-07-02,0,0,0,0,0,0,0,0,0,0,0,0
183,2022-07-03,0,0,0,0,0,0,0,0,0,0,0,0
184,2022-07-04,3484,-3765,508,424,-162,2123,-2812,314,657,-36,-296,69
185,2022-07-05,-4271,5915,-1508,-973,-635,-377,1,119,381,-22,-55,-80
186,2022-07-06,26743,-15670,-11505,-5825,-5766,-624,651,154,-40,-54,371,61
187,2022-07-07,-15848,2564,13284,2338,1955,7707,863,26,358,36,8,-8
188,2022-07-08,-3664,3193,457,1103,1857,761,-3933,39,716,-87,-1,16
189,2022-07-09,0,0,0,0,0,0,0,0,0,0,0,0
190,2022-07-10,0,0,0,0,0,0,0,0,0,0,0,0
191,2022-07-11,1379,1016,-2467,31,175,-967,-1606,0,-100,0,22,50
192,2022-07-12,1757,-3143,868,-1455,41,1152,591,121,417,2,533,-15
193,2022-07-13,1300,142,-1066,-914,-901,8,828,25,-113,0,-429,53
194,2022-07-14,1861,516,-2391,-5425,-918,3458,-667,117,896,149,13,1
195,2022-07-15,7118,2541,-9517,63,-3550,-3872,-1547,29,-621,-19,-150,8
196,2022-07-16,0,0,0,0,0,0,0,0,0,0,0,0
197,2022-07-17,0,0,0,0,0,0,0,0,0,0,0,0
198,2022-07-18,365,4030,-4506,-1219,-4186,1540,-252,203,-591,0,94,18
199,2022-07-19,1720,1554,-3243,-808,218,-2931,-95,6,367,0,-34,2
200,2022-07-20,-3144,244,2293,1157,831,-914,238,73,908,0,572,35
201,2022-07-21,4281,1270,-5919,-1136,-368,-3633,-286,0,-497,0,308,61
202,2022-07-22,-1537,39,1506,-1017,-45,2270,285,0,30,-17,-19,11
203,2022-07-23,0,0,0,0,0,0,0,0,0,0,0,0
204,2022-07-24,0,0,0,0,0,0,0,0,0,0,0,0
205,2022-07-25,-16454,-1917,17953,3402,4641,3394,5157,-509,1702,166,559,-141
206,2022-07-26,2387,-1387,-1067,-589,43,-440,-258,0,178,0,52,14
207,2022-07-27,219,-2550,2239,536,237,86,965,46,324,45,98,-6
208,2022-07-28,-71718,25677,47807,5063,8152,10693,23128,-255,1264,-237,-1470,-296
209,2022-07-29,-61483,57515,2402,-1176,-5086,1352,10420,-379,-2706,-23,1740,-175
210,2022-07-30,0,0,0,0,0,0,0,0,0,0,0,0
211,2022-07-31,0,0,0,0,0,0,0,0,0,0,0,0
212,2022-08-01,-30469,29805,2209,-1886,-262,2782,617,-55,689,324,-1357,-187
213,2022-08-02,-13358,19349,-5981,-1742,-422,-2611,-728,-202,-294,17,151,-160
214,2022-08-03,-8097,7798,111,1002,-2631,2961,-1874,-160,-49,863,213,-26
215,2022-08-04,8702,17315,-26072,1655,-6964,-510,-16970,0,-3144,-139,51,4
216,2022-08-05,-8906,2567,5861,-902,1295,2319,3395,-83,-163,0,609,-132
217,2022-08-06,0,0,0,0,0,0,0,0,0,0,0,0
218,2022-08-07,0,0,0,0,0,0,0,0,0,0,0,0
219,2022-08-08,-9310,-11268,19898,-188,5005,6196,10022,81,-1133,-85,680,0
220,2022-08-09,-1783,2765,-1610,477,-2940,6986,-6372,-9,248,0,584,44
221,2022-08-10,-19038,-392,20435,3253,3614,9960,3481,-33,368,-209,-965,-40
222,2022-08-11,-22629,7710,16249,3956,443,8506,3451,-106,-1,0,-1183,-147
223,2022-08-12,-85,1332,-1569,-1880,-110,852,-158,-122,-93,-57,231,91
224,2022-08-13,0,0,0,0,0,0,0,0,0,0,0,0
225,2022-08-14,0,0,0,0,0,0,0,0,0,0,0,0
226,2022-08-15,0,0,0,0,0,0,0,0,0,0,0,0
227,2022-08-16,-21875,7883,15170,-2319,3738,7598,4679,-69,1572,-29,-1142,-35
228,2022-08-17,13082,-11728,-2082,1109,-1546,1414,-1829,-44,-1189,3,719,8
229,2022-08-18,6067,-5257,-1075,-2295,1088,-1862,2515,-59,-484,22,271,-6
230,2022-08-19,-7062,-3555,10504,2930,2066,1350,3123,376,676,-19,63,51
231,2022-08-20,0,0,0,0,0,0,0,0,0,0,0,0
232,2022-08-21,0,0,0,0,0,0,0,0,0,0,0,0
233,2022-08-22,2321,-440,-2238,1378,-542,-780,-594,18,-1710,-8,187,170
234,2022-08-23,-28134,4464,23180,1089,4958,2715,11740,-34,2692,20,560,-70
235,2022-08-24,-39122,4695,35719,-1892,11630,16408,6529,-16,1278,1782,-1252,-40
236,2022-08-25,520,-13202,12499,2455,4385,2924,1758,52,924,1,-25,208
237,2022-08-26,-44225,29313,14979,1135,2509,5882,4999,-21,481,-5,-140,72
238,2022-08-27,0,0,0,0,0,0,0,0,0,0,0,0
239,2022-08-28,0,0,0,0,0,0,0,0,0,0,0,0
240,2022-08-29,-16936,-2013,18801,1642,6650,14734,-5017,542,476,-225,115,32
241,2022-08-30,1701,2250,-4334,-5790,328,3128,-1234,12,-828,50,644,-261
242,2022-08-31,-16187,11137,4871,2967,-1557,-630,3959,16,105,11,157,22
243,2022-09-01,-10986,16835,-3389,-8120,1548,5356,-2564,-25,396,20,-2369,-90
244,2022-09-02,-14087,17613,-2847,-1678,999,676,-1753,0,-1034,-56,-674,-5
245,2022-09-03,0,0,0,0,0,0,0,0,0,0,0,0
246,2022-09-04,0,0,0,0,0,0,0,0,0,0,0,0
247,2022-09-05,-15115,15809,-279,-577,729,-967,625,0,-89,0,-406,-10
248,2022-09-06,-56504,25002,30902,536,7842,10130,11264,394,403,332,516,85
249,2022-09-07,4081,-13915,10603,505,-357,6867,1939,73,1557,19,-537,-232
250,2022-09-08,-7900,491,7261,3575,1784,-1005,1748,0,408,751,234,-86
251,2022-09-09,0,0,0,0,0,0,0,0,0,0,0,0
252,2022-09-10,0,0,0,0,0,0,0,0,0,0,0,0
253,2022-09-11,0,0,0,0,0,0,0,0,0,0,0,0
254,2022-09-12,0,0,0,0,0,0,0,0,0,0,0,0
255,2022-09-13,-17748,19762,-2497,8878,-3225,-1758,-4186,-74,-2153,20,662,-179
256,2022-09-14,-2267,7006,-4281,-1272,465,1912,-5474,-27,107,8,-480,21
257,2022-09-15,-32061,20628,11720,-8853,7629,3028,9633,27,283,-27,-252,-35
258,2022-09-16,30177,-16298,-13777,-9940,-2846,7317,-8309,10,-10,0,-169,67
259,2022-09-17,0,0,0,0,0,0,0,0,0,0,0,0
260,2022-09-18,0,0,0,0,0,0,0,0,0,0,0,0
261,2022-09-19,-16474,31806,-13156,-2280,-5559,1391,-6479,0,-228,0,-2115,-61
262,2022-09-20,-8278,9051,242,2468,299,-1334,-746,-24,-395,-28,-974,-41
263,2022-09-21,-5806,23737,-16587,-2069,-3583,-2776,-5854,-149,-2157,0,-1293,-51
264,2022-09-22,-9186,4762,4501,1726,301,267,2245,182,-227,8,-103,25
265,2022-09-23,14794,402,-15766,-5089,-1075,-1195,-8276,19,-149,0,561,9
266,2022-09-24,0,0,0,0,0,0,0,0,0,0,0,0
267,2022-09-25,0,0,0,0,0,0,0,0,0,0,0,0
268,2022-09-26,-19363,43696,-23570,1547,-12897,-1370,-9024,117,-1896,-47,-794,31
269,2022-09-27,-9589,3081,6738,-4153,1447,4493,4210,0,741,0,-245,16
270,2022-09-28,2738,-6589,4354,-1273,2997,-1176,2294,63,1433,16,-533,30
271,2022-09-29,3414,1725,-5772,-7856,-920,1375,1605,31,-6,0,595,37
272,2022-09-30,-17030,-4465,21989,599,3452,5872,10828,-24,1747,-486,-473,-20
273,2022-10-01,0,0,0,0,0,0,0,0,0,0,0,0
274,2022-10-02,0,0,0,0,0,0,0,0,0,0,0,0
275,2022-10-03,0,0,0,0,0,0,0,0,0,0,0,0
276,2022-10-04,-8293,8454,-53,-4380,2282,-2109,4195,0,-42,0,-44,-64
277,2022-10-05,-26422,23391,1333,-8025,2213,3059,4062,0,-28,52,1746,-49
278,2022-10-06,15574,-17659,1576,-5151,-388,1798,5670,0,-353,0,498,12
279,2022-10-07,25527,-8135,-16777,-964,-3982,-2523,-7280,-53,-1975,0,-604,-12
280,2022-10-08,0,0,0,0,0,0,0,0,0,0,0,0
281,2022-10-09,0,0,0,0,0,0,0,0,0,0,0,0
282,2022-10-10,0,0,0,0,0,0,0,0,0,0,0,0
283,2022-10-11,-11542,4574,9135,2036,1582,4917,359,110,120,11,-2156,-10
284,2022-10-12,-21861,7806,13207,2957,725,7471,647,0,875,533,899,-50
285,2022-10-13,6917,1876,-9185,-3740,-2345,-1655,-1145,8,-309,0,352,40
286,2022-10-14,-10609,12076,-1073,5476,-1955,49,-5185,64,440,38,-368,-26
287,2022-10-15,0,0,0,0,0,0,0,0,0,0,0,0
288,2022-10-16,0,0,0,0,0,0,0,0,0,0,0,0
289,2022-10-17,-19173,6014,13016,4016,886,-2068,10240,0,-51,-6,121,21
290,2022-10-18,-37747,31202,6541,-4247,157,-2489,13774,-51,-604,-1,107,-102
291,2022-10-19,-36848,31706,4605,-6069,2608,-494,8581,-48,-14,41,666,-128
292,2022-10-20,13624,-6275,-6951,-557,-4862,-1262,1497,0,-1727,-39,-568,169
293,2022-10-21,7337,-5530,-1865,-1,-1424,333,974,-81,-1618,-47,74,-15
294,2022-10-22,0,0,0,0,0,0,0,0,0,0,0,0
295,2022-10-23,0,0,0,0,0,0,0,0,0,0,0,0
296,2022-10-24,11012,5472,-15770,-3456,-3686,-2335,-5436,-67,-757,-33,-853,139
297,2022-10-25,10850,25650,-37127,-194,-8254,-7041,-19709,91,-2021,0,758,-132
298,2022-10-26,-6965,5989,1020,-1699,1557,-1382,1161,-10,1390,3,108,-152
299,2022-10-27,-47296,34988,12160,1382,608,2870,6904,420,27,-52,98,50
300,2022-10-28,74899,-68862,-7182,-1409,381,675,-6082,184,-932,0,920,224
301,2022-10-29,0,0,0,0,0,0,0,0,0,0,0,0
302,2022-10-30,0,0,0,0,0,0,0,0,0,0,0,0
303,2022-10-31,12259,-9338,-3133,654,-90,-60,-3720,136,-55,0,204,9
304,2022-11-01,-52291,41143,11384,8488,1056,548,-167,19,1434,6,-206,-30
305,2022-11-02,-4398,4156,275,-2693,2386,-985,1475,0,89,3,14,-47
306,2022-11-03,-2471,10802,-7657,-4992,-735,3601,-5896,0,366,0,-628,-45
307,2022-11-04,-11041,13764,-3073,-2485,1191,-1710,-730,-118,760,18,316,34
308,2022-11-05,0,0,0,0,0,0,0,0,0,0,0,0
309,2022-11-06,0,0,0,0,0,0,0,0,0,0,0,0
310,2022-11-07,48825,-20286,-27814,-5790,-8582,-6767,-3879,42,-2837,0,-966,241
311,2022-11-08,-11606,9002,2569,6519,-1557,-2153,-597,18,339,0,46,-11
312,2022-11-09,-43178,22942,20071,13128,2957,-748,5048,-30,-284,0,483,-319
313,2022-11-10,-12075,-382,11841,2438,3782,2380,-1368,-27,4592,45,803,-187
314,2022-11-11,-25440,-2227,27427,6305,6633,-2237,15430,115,1179,3,179,61
315,2022-11-12,0,0,0,0,0,0,0,0,0,0,0,0
316,2022-11-13,0,0,0,0,0,0,0,0,0,0,0,0
317,2022-11-14,7605,-6818,-736,-2079,574,-2890,2810,-11,840,19,60,-112
318,2022-11-15,10637,-2036,-8934,220,-3208,-284,-4241,6,-1419,-9,186,147
319,2022-11-16,-14609,8822,5683,-646,1515,4693,-723,93,752,0,217,-113
320,2022-11-17,13297,-5792,-8166,-3039,215,-1068,-4609,17,318,0,612,48
321,2022-11-18,-3904,-458,4393,846,1816,13,1286,-11,444,0,32,-63
322,2022-11-19,0,0,0,0,0,0,0,0,0,0,0,0
323,2022-11-20,0,0,0,0,0,0,0,0,0,0,0,0
324,2022-11-21,-20577,7898,12412,2817,1525,346,5026,0,2698,0,261,6
325,2022-11-22,-28448,17493,11241,-1264,7703,3231,-1370,204,2907,-169,-206,-79
326,2022-11-23,-11045,1914,8837,-2283,3483,6491,741,35,341,29,315,-22
327,2022-11-24,-55294,40130,15094,-12156,12608,5908,4822,518,3378,16,52,18
328,2022-11-25,-105,-2219,2590,-3079,876,-965,5655,13,112,-21,-343,77
329,2022-11-26,0,0,0,0,0,0,0,0,0,0,0,0
330,2022-11-27,0,0,0,0,0,0,0,0,0,0,0,0
331,2022-11-28,-3700,7511,-3880,-3073,-645,-1157,1801,6,-821,9,190,-122
332,2022-11-29,-1282,4037,-2865,-1467,-123,-1179,38,10,-136,-10,163,-53
333,2022-11-30,11940,3399,-14050,-8184,-2474,-4052,672,219,-232,0,-1039,-250
334,2022-12-01,-7674,1531,6127,7570,-1501,-2778,3722,-28,-836,-22,97,-82
335,2022-12-02,5382,4143,-9425,-5634,-1207,-2766,873,0,-691,0,-134,34
336,2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0
337,2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0
338,2022-12-05,-639,3706,-2545,-771,-723,-1288,361,0,-124,0,-538,16
339,2022-12-06,35221,-4160,-30722,-10161,-5474,-11343,-2239,-1,-1493,-11,-331,-7
340,2022-12-07,4834,3513,-8443,2980,-5643,272,-3745,-49,-2259,0,18,78
341,2022-12-08,332,-1466,1437,143,2137,-757,-398,97,206,8,-271,-32
342,2022-12-09,16868,1848,-18763,3916,-16253,-2515,-3343,-102,-471,5,7,40
343,2022-12-10,0,0,0,0,0,0,0,0,0,0,0,0
344,2022-12-11,0,0,0,0,0,0,0,0,0,0,0,0
345,2022-12-12,-3472,6890,-3205,-1959,-190,-1189,-628,0,750,11,-225,12
